scenario_id,tax_delta,completions_uplift_pct,year,price,rent,price_delta_pct,rent_delta_pct
34,0.008,0.25,2019,551818.4673341695,1958.559831326379,-0.25360013055677477,-1.309369024744056
34,0.008,0.25,2020,575387.7259636876,1966.5663455843098,-0.5802549451700667,-2.7470432310243043
34,0.008,0.25,2021,640361.3710801736,2066.3044919357517,-1.0282284744654757,-4.3975378840538255
34,0.008,0.25,2022,733399.2175927827,2146.8059860620087,-1.485089304325471,-6.029335518508139
34,0.008,0.25,2023,734836.3894989641,2124.718155691867,-1.903254458813275,-7.58117883281172
34,0.008,0.25,2024,741413.7109301065,2114.1669962549863,-2.4319499921512278,-9.290366965026486
35,0.008,0.3,2018,516412.33556893683,1886.107517096564,0.0,0.0
35,0.008,0.3,2019,550958.4713978844,1952.718003512349,-0.40905251866042436,-1.6037351522393606
35,0.008,0.3,2020,573506.9769231409,1954.2735603779097,-0.9052246685163579,-3.354960533653184
35,0.008,0.3,2021,637014.3015993009,2045.6689758212847,-1.545538560459947,-5.352288819976225
35,0.008,0.3,2022,728129.8579219556,2117.3616861344794,-2.192903663739132,-7.318180643473404
35,0.008,0.3,2023,728163.7765155486,2087.9205688876827,-2.794012765400722,-9.181762696195994
35,0.008,0.3,2024,733132.0544398784,2069.1692109931123,-3.521793709193799,-11.221024569521054
36,0.01,0.0,2018,516412.33556893683,1886.107517096564,0.0,0.0
36,0.01,0.0,2019,556874.7929902645,1988.935540874332,0.6603784885341746,0.2212443849971324
36,0.01,0.0,2020,586449.9257545033,2031.1128613009596,1.3311537160183295,0.44498714042711107
36,0.01,0.0,2021,660035.153895661,2175.858619223428,2.0124751435134147,0.6712428036625973
36,0.01,0.0,2022,764474.9391877335,2304.9954030102203,2.689201947005082,0.8949812204399832
36,0.01,0.0,2023,774433.384251053,2324.8341351210242,3.382733516060754,1.1232617378190035
36,0.01,0.0,2024,790787.0669487505,2362.0916208928898,4.0654508490594266,1.346991276339904
37,0.01,0.05,2018,516412.33556893683,1886.107517096564,0.0,0.0
37,0.01,0.05,2019,556005.725969193,1982.9949761312391,0.5032864161794492,-0.07809703591220574
37,0.01,0.05,2020,584527.4928646286,2018.3800627544063,0.9989815490221376,-0.1846902205103862
37,0.01,0.05,2021,656569.3240750809,2154.028935452068,1.4768099197191908,-0.338759121948784
37,0.01,0.05,2022,758947.3849375746,2273.181148826558,1.9467052272686525,-0.49760228502424564
37,0.01,0.05,2023,767344.6162224882,2284.248083146351,2.4364207266618143,-0.6421089158280546
37,0.01,0.05,2024,781866.2894643531,2311.320939672752,2.8915005283745243,-0.8313559736986553
38,0.01,0.1,2018,516412.33556893683,1886.107517096564,0.0,0.0
38,0.01,0.1,2019,555138.2533005619,1977.0737785851247,0.34648253808688967,-0.37646255562135966
38,0.01,0.1,2020,582612.4658370736,2005.7343635301145,0.6680890216680835,-0.8100602431058368
38,0.01,0.1,2021,653124.8739218005,2132.4381511311913,0.9444490544369577,-1.3377077997191456
38,0.01,0.1,2022,753466.7665892353,2241.84571646684,1.210513240432487,-1.8692266515367484
38,0.01,0.1,2023,760332.0232948817,2244.434384905997,1.5002769076650546,-2.373884515251745
38,0.01,0.1,2024,773063.6090214383,2261.739370312091,1.7330914606760395,-2.9586836493129876
39,0.01,0.15,2018,516412.33556893683,1886.107517096564,0.0,0.0
39,0.01,0.15,2019,554272.3716229218,1971.1718798045963,0.18996624664278094,-0.6738556223463088
39,0.01,0.15,2020,580704.8118940073,1993.1751180861536,0.33847047036019706,-1.4311548514596595
39,0.01,0.15,2021,649701.6519666112,2111.083434531771,0.41536913717290513,-2.325734246286193
39,0.01,0.15,2022,748032.6265741267,2210.981303231909,0.48056452293403495,-3.2202334212905748
39,0.01,0.15,2023,753394.6659876693,2205.377131910249,0.5741766434172346,-4.072757031696295
39,0.01,0.15,2024,764377.2319357888,2213.3167796200505,0.5899876019458405,-5.036284633558019
40,0.01,0.2,2018,516412.33556893683,1886.107517096564,0.0,0.0
40,0.01,0.2,2019,553408.0775828303,1965.28921161874,0.03373693568073932,-0.9702796711776651
40,0.01,0.2,2020,578804.4984214527,1980.70168603327,0.010120259814416777,-2.0480057148559827
40,0.01,0.2,2021,646299.5079519246,2089.9619900604866,-0.11045305530342775,-3.302967806383794
40,0.01,0.2,2022,742644.5123583621,2180.580243262895,-0.24320171249556655,-4.550958146662865
40,0.01,0.2,2023,746531.6178935141,2167.060768198281,-0.34200373652871763,-5.739403102464302
40,0.01,0.2,2024,755805.3952495974,2166.0238556277727,-0.5380430483212684,-7.06541657445462
41,0.01,0.25,2018,516412.33556893683,1886.107517096564,0.0,0.0
41,0.01,0.25,2019,552545.3678348308,1959.4257061160567,-0.12220599952210698,-1.2657381241342969
41,0.01,0.25,2020,576911.4929683689,1968.3134320907927,-0.3169672171000171,-2.6606442499433225
41,0.01,0.25,2021,642918.2928209609,2069.0710577657665,-0.6330405606302048,-4.269536175695987
41,0.01,0.25,2022,737301.9763810436,2150.635004971758,-0.9608455851212838,-5.861730502685836
41,0.01,0.25,2023,739741.9654757471,2129.4700819770346,-1.2483861844541977,-7.3744843946002
41,0.01,0.25,2024,747346.3661456434,2119.832083643261,-1.6512285242103686,-9.047302912370414
42,0.01,0.3,2018,516412.33556893683,1886.107517096564,0.0,0.0
42,0.01,0.3,2019,551684.2390414311,1953.5812956434079,-0.27786316224899243,-1.5602343902164528
42,0.01,0.3,2020,575025.7632457486,1956.0097260429939,-0.642797539516482,-3.269101622892645
42,0.01,0.3,2021,639557.8587070699,2048.407912851193,-1.1524162325037501,-5.2255654233705044
42,0.01,0.3,2022,732004.5759934137,2121.138188523436,-1.6724265543777261,-7.152874397259168
42,0.01,0.3,2023,733024.8078693084,2092.5901974716257,-2.1450909610482682,-8.978647959372898
42,0.01,0.3,2024,738998.441373826,2074.713723050187,-2.749792968853093,-10.9831338754812
